BC.ff.frac.375,BC.wb.frac.375,BrC.frac.375,BC.ff.frac.407,BC.wb.frac.407,BrC.frac.407,BC.ff.frac.532,BC.wb.frac.532,BrC.frac.532,BC.ff.frac.635,BC.wb.frac.635,BrC.frac.635,BC.ff.frac.850,BC.wb.frac.850,BrC.frac.850,BC.ff.375,BC.wb.375,BrC.375,BC.ff.407,BC.wb.407,BrC.407,BC.ff.532,BC.wb.532,BrC.532,BC.ff.635,BC.wb.635,BrC.635,BC.ff.850,BC.wb.850,BrC.850
-0.0203488897149243,-0.114661799942467,-0.00184293650762861,-0.0212309217199074,-0.114661799942467,-0.00186848024261675,-0.0241102623929835,-0.114661799942466,-0.00195202218622364,-0.0260082731012138,-0.114661799942468,-0.00200722263007721,-0.029127564983904,-0.114661799942471,-0.00209816940420316,-0.0203488897149214,-0.114661799942469,-0.00184293650762899,-0.0212309217199099,-0.114661799942468,-0.001868480242616,-0.0241102623929843,-0.114661799942469,-0.00195202218622452,-0.0260082731012126,-0.114661799942468,-0.00200722263007868,-0.0291275649839044,-0.114661799942467,-0.00209816940420486
-0.0116618848370082,-0.0933682145770151,0.00113513344483583,-0.0125517382145678,-0.093368214577012,0.00115080691712406,-0.015456611290162,-0.0933682145770125,0.00120207223406528,-0.0173714525088715,-0.0933682145770141,0.0012359496513856,-0.0205184045488536,-0.0933682145770144,0.0012917717651062,-0.0116618848370066,-0.0933682145770122,0.0011351334448388,-0.0125517382145662,-0.0933682145770148,0.0011508069171218,-0.0154566112901599,-0.0933682145770135,0.00120207223406362,-0.0173714525088732,-0.0933682145770132,0.00123594965138767,-0.0205184045488504,-0.0933682145770132,0.00129177176510772
-0.00610082832052437,-0.137788520998754,-0.00237136937241171,-0.00699568861307676,-0.137788520998752,-0.00240392687328638,-0.00991690646288927,-0.137788520998753,-0.00251040605463725,-0.0118425218691723,-0.137788520998753,-0.00258076096099412,-0.0150071807828262,-0.137788520998752,-0.00269667348579582,-0.00610082832052678,-0.137788520998751,-0.00237136937241377,-0.00699568861307426,-0.137788520998751,-0.00240392687328794,-0.00991690646289277,-0.137788520998751,-0.00251040605463587,-0.0118425218691738,-0.137788520998751,-0.00258076096099295,-0.0150071807828267,-0.137788520998752,-0.00269667348579171
-0.062054627569489,-0.000609162058683047,-0.000162261102823546,-0.0628991096802376,-0.000609162058683719,-0.000164472842202174,-0.0656558709716925,-0.000609162058682088,-0.000171706797272597,-0.0674730795083992,-0.000609162058684316,-0.000176486945664473,-0.0704595767990323,-0.00060916205868353,-0.000184363117072316,-0.0620546275694903,-0.000609162058681032,-0.000162261102824689,-0.0628991096802363,-0.000609162058684479,-0.000164472842203567,-0.0656558709716909,-0.000609162058683068,-0.000171706797273208,-0.0674730795084005,-0.000609162058683036,-0.000176486945663145,-0.0704595767990302,-0.000609162058684278,-0.000184363117072132
-0.0114504349444216,-0.112216054855966,-0.00266426663874362,-0.0123404787015676,-0.112216054855968,-0.0027008683642304,-0.0152459732599193,-0.112216054855968,-0.00282057312761156,-0.0171612241491317,-0.112216054855968,-0.00289966581348854,-0.0203088494634318,-0.112216054855966,-0.00302997266436254,-0.0114504349444214,-0.112216054855966,-0.00266426663874588,-0.0123404787015675,-0.112216054855966,-0.00270086836423069,-0.0152459732599181,-0.112216054855966,-0.00282057312761237,-0.0171612241491308,-0.112216054855965,-0.00289966581348779,-0.0203088494634321,-0.112216054855966,-0.00302997266436442
-0.00556588086682568,-0.215532586033009,0.00244399108573941,-0.0064612228010236,-0.215532586033012,0.00247775655580887,-0.00938401294116078,-0.215532586033008,0.00258820203516856,-0.0113106647735599,-0.215532586033007,0.00266119077331352,-0.0144770270050907,-0.215532586033008,0.00278146546135667,-0.00556588086682472,-0.215532586033009,0.00244399108573956,-0.0064612228010226,-0.215532586033008,0.00247775655581007,-0.00938401294115768,-0.215532586033008,0.0025882020351696,-0.0113106647735578,-0.215532586033008,0.0026611907733135,-0.0144770270050908,-0.21553258603301,0.00278146546135701
-0.0238623523752336,-0.0361895522000629,0.00293244870768565,-0.0247412210228925,-0.0361895522000629,0.00297308890773387,-0.0276102351053761,-0.0361895522000615,0.00310602329032396,-0.0295014387067852,-0.0361895522000628,0.00319387562340027,-0.0326095434275976,-0.036189552200063,0.00333864615866061,-0.0238623523752332,-0.036189552200063,0.00293244870768262,-0.0247412210228938,-0.0361895522000614,0.00297308890773745,-0.0276102351053748,-0.0361895522000646,0.00310602329032152,-0.0295014387067874,-0.0361895522000633,0.00319387562339949,-0.0326095434275987,-0.0361895522000594,0.0033386461586632
-0.631579401154049,0.0457322947229932,0.00265691365456425,-0.631911109816519,0.0457322947229942,0.00269381247461207,-0.632993952885768,0.0457322947229945,0.00281450781786473,-0.633707743983845,0.0457322947229941,0.00289427093222466,-0.634880826289709,0.0457322947229951,0.00302570996682477,-0.63157940115405,0.0457322947229924,0.00265691365456375,-0.631911109816517,0.0457322947229957,0.00269381247461252,-0.632993952885769,0.0457322947229925,0.00281450781786751,-0.633707743983845,0.045732294722995,0.00289427093222524,-0.634880826289709,0.0457322947229925,0.00302570996682443
-0.34710649416465,0.060715839481758,5.10910109019286e-05,-0.347694328917192,0.060715839481758,5.1948680470437e-05,-0.349613280273246,0.0607158394817577,5.47538861154199e-05,-0.350878219242229,0.0607158394817588,5.66075624128915e-05,-0.352957087312333,0.0607158394817575,5.96618610041128e-05,-0.347106494164647,0.0607158394817577,5.10910109008146e-05,-0.347694328917192,0.0607158394817583,5.19486804702561e-05,-0.349613280273245,0.0607158394817576,5.47538861152422e-05,-0.350878219242229,0.0607158394817569,5.66075624130748e-05,-0.352957087312334,0.0607158394817587,5.96618610029841e-05
-0.00677130911910452,-0.09974231249777,-0.00103072891472777,-0.00766556574212825,-0.0997423124977686,-0.0010450498317971,-0.0105848129489094,-0.0997423124977682,-0.00109188816619858,-0.0125091293419817,-0.0997423124977681,-0.00112283760041423,-0.0156716533881385,-0.0997423124977693,-0.00117383070217278,-0.00677130911910401,-0.099742312497768,-0.00103072891472597,-0.00766556574212675,-0.0997423124977673,-0.0010450498317992,-0.0105848129489083,-0.0997423124977694,-0.00109188816619721,-0.0125091293419797,-0.099742312497767,-0.00112283760041239,-0.0156716533881411,-0.0997423124977695,-0.00117383070216825
